Category,SrNo,Title,Link,Type,Description
Articles,5,"Sustainability of Urban Lakes: Role of Values in Lake Governance in Ahmedabad, India",,Journal Article,"Bal, M. Van Ast, J.A. & Bouma, J.J., 2013. Sociology Study, 3(3): pp.182-206."
Articles,6,Sustainability of water resource systems in India: role of value in urban lake governance in Ahmedabad,https://www.semanticscholar.org/paper/Sustainability-of-water-resource-systems-in-India%3A-Bal-Ast/1613262ef1d49053a449f32b131c99980ee90920,Journal Article,"Published in Semantic Scholar (Corpus ID: 55515828) (2011). Co-authored with Ast, J.V. and Bouma, J.J. Investigates sustainability of water resource systems in India, with a focus on the role of values in urban lake governance in Ahmedabad. Demonstrates how the values held by different stakeholders — including communities, government bodies, and private actors — shape governance outcomes and the long-term viability of urban lake systems."
Articles,7,Social-ecological State of Urban Lakes in India,,Article (Forthcoming),"Bhargava, M.B. 2021. Forthcoming. MyLiveableCity. Focus on Health and Cities, Jan-Jun 2021."
Articles,8,Ds! that challenge the Urban Lake Conservation & Management in India,,Article (Forthcoming),"Bhargava, M.B. 2021. Forthcoming. Indrastra."
Articles,9,Water Cannons: Cannonisation of Protest Governance,,Article (Forthcoming),"Bhargava, M.B. 2021. Forthcoming. Indrastra."
Articles,10,"As global systems fracture, communities search for self-reliance'",,Article,"Published in 2026, “As Global Systems Fracture, Communities Search for Self-Reliance” by Fayyaz Baqir and Mansee Bal Bhargava examines the growing instability of global political, economic, and environmental systems and argues that communities must increasingly rely on local self-organization and resilience. The article highlights how wars, climate change, inequality, corporate concentration, and weakening international cooperation are accelerating global crises and undermining sustainable development. It questions whether nation-states alone can ensure sustainability when power is concentrated among political and economic elites"
Book Chapters,1,What will it take to make Indian cities more Resilient Case of Integrated Lake Basin Management at Indore,https://www.sciencedirect.com/book/9780323857291/natural-resource-governance-in-asia,Book Chapter,"Book chapter in: Raza Ullah et.al. ed. (2021). Natural Resources Governance in Asia: From Collective Action to Resilience Thinking. Elsevier/ScienceDirect. Analyses the case of Integrated Lake Basin Management (ILBM) at Indore, India, to examine what it would take to make Indian cities more resilient. Applies institutional analysis to understand how collective action, governance structures, and multi-stakeholder collaboration contribute to water resilience in rapidly urbanising Indian cities."
Book Chapters,2,An Institutional analysis of Gundalav Lake Governance,https://www.sciencedirect.com/book/9780323857291/natural-resource-governance-in-asia,Book Chapter,"Book chapter in: Raza Ullah et.al. ed. (2021). Natural Resources Governance in Asia: From Collective Action to Resilience Thinking. Elsevier/ScienceDirect. Co-authored with Sanjaliwala, M. Conducts an institutional analysis of Gundalav Lake governance in Kishangarh, Rajasthan. Examines the rules, actors, and institutional arrangements that shape collective action toward the lake's conservation and sustainability, drawing on the Institutional Analysis and Development (IAD) framework."
Book Chapters,3,Design Principles of the Indus Water Treaty towards a Peace Building Process between India and Pakistan,https://www.springer.com/gp/book/9783030623159,Book Chapter,"Book chapter in: Brauch, H.G. et.al. ed. (2019). Handbook on Sustainable Peace. Book Series: The Anthropocene: Politik–Economics–Society–Science (APESS). Springer Nature. Co-authored with Ali, S. Analyses the Indus Water Treaty between India and Pakistan through Ostrom's design principles for sustainable commons governance. Argues that the treaty's institutional design principles can serve as a foundation for peace-building and cooperative transboundary water management between the two countries."
Book Chapters,4,Assessment of Interactive Governance at Anasagar Lake Management in India: Analysing using Institutional Analysis Development Framework,https://link.springer.com/chapter/10.1007/978-981-13-2399-7_9,Book Chapter,"Book chapter in: Kenji Otsuka ed. (2019). Interactive Approaches to Water Governance in Asia. Springer, Japan. pp.197–225. DOI: 10.1007/978-981-13-2399-7_9. Analyses the governance of Anasagar Lake in Ajmer, India, using the Institutional Analysis and Development (IAD) Framework. Finds that the lake's governance toward sustainability is driven by the interrelations of its physical, institutional, and community characteristics. Documents and explains the interactive water governance process and demonstrates how the IAD framework can be applied to assess urban lake governance in India."
Book Chapters,5,Values connecting Societies and Water Systems,https://search.proquest.com/openview/32aa3b4458e6b662e7f703437c3c6311/1?pq-origsite=gscholar&cbl=2032318,Book Chapter,"Book chapter in: J. Edelenbos, N. Bressers & P. Scholten, ed. (2013). Water Governance as Connective Capacity. Ashgate Publishing Limited, Surrey, England. pp.249–266. Co-authored with Van Ast, J.A. and Bouma, J.J. Explores the role of values — ecological, economic, cultural, and social — in connecting societies and water systems. Argues that water governance must account for the diverse values that different communities ascribe to water bodies, and that recognising these values is essential to achieving connective and sustainable water governance."
Published Essays and Reports,1,Institutional Analysis Development Framework of Urban Lake Governance in Indore: Case Studies of Lasudia Mori and Khajrana Lake,,Special Report,"Bal, M. Submitted to TARU Leading Edge India. For Rockefeller Foundation (2013) 100 Resilience Cities Programme."
Published Essays and Reports,2,Tanks and Water Management in Hyogo Prefecture,,Field Essay,"Bal, M. 2015. Field Essay Submitted to Hyogo University of Technical Education."
Published Essays and Reports,3,Analyzing Anasagar Lake System from a Social-ecological system approach,,Research Fellowship Report,"Bal, M. Research Fellowship Report Submitted to Research Institute for Humanity and Nature, RIHN, Kyoto, Japan."
Published Essays and Reports,4,Emerging Crisis in Mansagar Lake Governance in Jaipur,http://www.indiawaterportal.org/news/emerging-crisis-mansagar-lake-governance-jaipur,Report/Essay,"Published on India Water Portal. A re-pronouncement of the governance crisis at Mansagar Lake, Jaipur, dedicated to the people of Jaipur. Documents and analyses the institutional failures, land encroachments, and political factors that have pushed Mansagar Lake — a historically and ecologically significant water body — toward deterioration, calling for urgent collective governance intervention."
Published Essays and Reports,5,Preliminary Report on Governing Lake Gurram Cheruvu in Hyderabad,http://www.indiawaterportal.org/articles/report-governing-lake-gurram-hyderabad,Report,"Published on India Water Portal (April 2013). A research note prepared from field visits to Gurram Cheruvu (a lake in Hyderabad) and interactions with local stakeholders. Submitted to the Local Councilor of Greater Hyderabad Municipal Corporation for the Area Development Plan. Documents the governance challenges, stakeholder conflicts, and ecological conditions of the lake, and offers preliminary recommendations for improved management."
Published Essays and Reports,6,Review of the Draft Rajasthan Lake Authority Bill 2013,http://www.indiawaterportal.org/articles/review-draft-rajasthan-lake-authority-bill-2013,Review Report,"Published on India Water Portal (February 2013). A broad review of the Draft Rajasthan Lake Development Authority Bill, 2013, prepared for the Ministry of Urban Development and Housing, Government of Rajasthan. Critically analyses the bill's provisions for lake conservation and management, highlighting gaps in institutional design, community participation, and ecological safeguards, and suggesting improvements to make it more effective."
Published Essays and Reports,7,Planning through pedagogy: Water and metropolitanisation in Hyderabad,https://www.counterview.net/2026/05/planning-through-pedagogy-water-and.html,Essay,"Published in 2026, “Planning through Pedagogy: Water and Metropolitanisation in Hyderabad” by Saksham and Dr. Mansee Bal Bhargava examines the growing water crisis caused by rapid urbanisation in Hyderabad and highlights the importance of participatory, interdisciplinary planning for sustainable urban water governance. The article focuses on the international Water and Metropolitanisation workshop organised in Hyderabad, where planners, architects, researchers, and policymakers collaborated to develop innovative strategies for restoring the city’s degraded water systems. It argues that water issues are not merely engineering problems but also social, ecological, and governance challenges that require citizen participation and long-term planning."
Thesis,1,Social-ecological System (SES) Framework- Understanding urban lake governance and sustainability in India,https://www.mansee.in/wp-content/uploads/2016/09/2015.eur-phd-theiss.content-n-propositions.pdf,PhD Thesis,PhD Dissertation at Erasmus University Rotterdam (2015). ISBN: 978-90-7011-65. A three-stage study applying the SES framework to urban lake systems in India: first mapping SES variables across Ahmedabad's lakes; then analysing governance drivers across eight lakes in four cities; and finally an in-depth analysis of one lake system. Develops the Urban Lake System (ULS) framework as an analytical tool for researchers and managers. Argues that understanding the science of social-ecological systems is itself a greater challenge than governing and sustaining them.
Thesis,2,"Perceptions, Planning and Principles of Public Open Space (POS), Realities of Cape Town and Kosovo Informal Settlement, South Africa",https://www.mansee.in/wp-content/uploads/2016/09/2008.umd-ihs.thesis-content-n-summary.pdf,MSc Thesis,"MSc Thesis in Urban Management and Development, IHS, Erasmus University Rotterdam (2008). Supervised by Marijk Huijsman. Investigates how perceptions of public open spaces shape their use, planning, provision, and management. Draws on a literature review of sustainability and livability principles and a detailed case study of public open spaces in Kosovo informal settlement, Cape Town, South Africa. Finds that while Cape Town has adequate provision (160 sq. m per person), principles of accessibility, management, productivity, and image are critical gaps. Concludes that there is no single blueprint for a good public open space, but certain principles of sociability, multiplicity of use, and hierarchy are vital."
Thesis,3,"Assessment of the case for increase in public amenity and space, A Case Study of Vastrapur Lake Development Project (VLDP), Ahmedabad",https://www.mansee.in/wp-content/uploads/2016/09/2006.cam-mphil-thesis-content-n-intro.pdf,MPhil Thesis,"MPhil Dissertation in Planning, Growth and Regeneration, Department of Land Economy, University of Cambridge (2006). Supervised by Mr. Barry Moore. Assesses the case for increasing public amenity and space through a case study of the Vastrapur Lake Development Project (VLDP) in Ahmedabad, India. Applies a Cost Benefit Balance Sheet approach and a primary field survey with questionnaire interviews with residents, commercial users, slum dwellers, and commuters. Analyses market and government failures in urban lake management and justifies public intervention to protect and enhance the lake's amenity value for the surrounding community."
Thesis,4,"Open Spaces in the Urban System, Lakes as an opportunity, A Case Study of Thaltej Lake, Ahmedabad",,PG Diploma Thesis,1999. PG Dip. Urban Design Thesis at CEPT Ahmedabad.
Thesis,6,"Archaeological Museum, A Site Planning Approach, Bhopal",,B.Arch Thesis,1995. B. in Architecture Thesis at Barkatullah University Bhopal.
Professional Reports (Team Member),1,Kunds of Mathura,,Professional Report (Ongoing),"For the UP Braj Tirth Vikas Parishad, Mathura District. At EDRC-EDC."
Professional Reports (Team Member),2,Rapid Assessment of Menstrual Hygiene Management (MHM) Among Adolescent Girls in Government Schools of Hyderabad,,Professional Report,2019-20. For WaterAID Hyderabad. At SaciWATERs.
Professional Reports (Team Member),3,Documentation of 20 Years Work of Environmental Design Consultants Ahmedabad,,Professional Report,May 2015–. At EDC.
Professional Reports (Team Member),4,"Vision Plan for Nau Chauki Pal, Rajsamand, for Rajsamand Municipality",,Professional Report,May 2016. At EDC.
Professional Reports (Team Member),5,"Review of the Draft Lake Development Authority Bill, Government of Rajasthan",,Professional Report,Feb 2013. At EUR.
Professional Reports (Team Member),6,Review of the High Court Order dated 17th May 2012 on Mansagar Lake,,Professional Report,July 2013. At EUR.
Professional Reports (Team Member),7,"Report on Lake Gurram Cheruvu, for Local Councillor Barkas area",,Professional Report,May 2011. At EUR.
Professional Reports (Team Member),8,"Master Plan and Development Guidelines at Grassfield Farms and Resort, Jaipur",,Professional Report,May 2007. At EDC.
Professional Reports (Team Member),9,"Master Plan and Guidelines of Saurashtra University Campus, Rajkot",,Professional Report,June 2004. At EDC.
Professional Reports (Team Member),10,"Ecological Upgradation- ISO14001 of Morwad-Dharmeta marble mines, Rajsamand",,Professional Report,June 2003. At EDC.
Professional Reports (Team Member),11,"Development Strategies for Tourism growth in 5 towns of Saurashtra region: Dwarka, Junagarh, Palitana, Porbandar, Veraval-Patan, Gujarat",,Professional Report,July 2002. At CEPT.
Professional Reports (Team Member),12,"Master Plan for the Science and Technology Park of the Science City, Ahmedabad",,Professional Report,May 2002. At CEPT.
Professional Reports (Team Member),13,"Dwarka Urban Design Initiative, Dwarka",,Professional Report,Jan 2002. At CEPT.
Professional Reports (Team Member),14,"Rehabilitation of Social Amenities in earthquake affected villages of Bhachhau, Gujarat",,Professional Report,Oct 2001. At CEPT.
Professional Reports (Team Member),15,"Master Plan for the Impact of Science City on Surrounding Development, Ahmedabad",,Professional Report,Aug 2000. At CEPT.
Professional Reports (Team Member),16,"Environmental Assessment of Veraval Harbour Area (Physical Development), Veraval",,Professional Report,Oct 1999. At CEPT.
"Papers, Presentations & Participations in Conferences, Seminars, Workshops, Symposia",1,Panel Coordinator – 5 Papers in Panel: Women in Commons Management Practices and Studies; Oral presentation: 'Role of Women in shaping the Built Environment in India: A Case Study of Women in Architecture in Ahmedabad',,Panel / Conference,"Future of Women Conference. Bengaluru, Feb 13-14, 2020."
"Papers, Presentations & Participations in Conferences, Seminars, Workshops, Symposia",2,Panel Coordinator – 6 Speakers in Panel: Sustainability and Livability Across Scales of the Built Environment,,Panel / Conference,"Nagpur Literary Festival. Nagpur, Feb 15-16, 2020."
"Papers, Presentations & Participations in Conferences, Seminars, Workshops, Symposia",3,Participant – WIN-KPCSD Roundtable session: Innovations to Drive Social Change,,Participation,"IIT Gandhinagar, Jan 10, 2020."
"Papers, Presentations & Participations in Conferences, Seminars, Workshops, Symposia",4,"Panel Coordinator (with Prof. Tine de Moore) – 10 Paper Presentations in Panel: Gender Balance in the Commons Management Practices and Studies; Papers: 1. Role of Women in shaping the Built Environment in India; 2. Women in the Production of a Public Space in Ahmedabad; 3. Land-Water dynamics in Polycentric Governance of Mansagar lake; 4. Institutional Arrangement of the Indus Water Treaty; 5. Institutional arrangements, Adaptive Capacity, Östrom design principles, Urmia Lake Basin",http://dlc.dlib.indiana.edu/dlc/handle/10535/10663,Panel / Conference,"Paper presented in XVII Biennial IASC-Conference 'In Defense of the Commons: Challenges, Innovation and Action', Lima, Peru, July 1–5, 2019. Co-authored with Megha Sanjaliwala. Examines the land-water dynamics and polycentric governance of Mansagar Lake, Jaipur, through the SES framework. Finds that polycentricity — the presence of multiple overlapping governance actors — creates conditions for collective action but also challenges sustainability by allowing land interests to override ecological concerns. Uses interviews, perception surveys, and historical data to document how collective action conditions (communication, compliance, collaboration, conflict resolution, co-valuation) shaped governance outcomes at the lake."
"Papers, Presentations & Participations in Conferences, Seminars, Workshops, Symposia",5,Presentation and Papers: 1. Women in Architecture Profession in India; 2. Women in the Production of a Public Space in Ahmedabad,,Paper Presentation,"2nd International Conference on Future of Women '19. Colombo Sri Lanka, Feb 14-15, 2019."
"Papers, Presentations & Participations in Conferences, Seminars, Workshops, Symposia",6,Panel Presentation – Crafting a Pedagogy for Architecture Thesis,,Panel Presentation,"Symposium on 'New Directions in Design based Research'. Swarnim Startup & Innovation University, Gandhinagar, Dec 15-16, 2018."
"Papers, Presentations & Participations in Conferences, Seminars, Workshops, Symposia",7,Panel Presentation – 'What will it take to make the Citizens Participate in the Cities Upkeep: Experience of Urban Lakes of India',,Panel Presentation,"IWMI-TATA Conference on 'Building Climate Resilience for Doubling Farmers Income'. NDDB Anand, Dec 4-5, 2018."
"Papers, Presentations & Participations in Conferences, Seminars, Workshops, Symposia",8,"Paper Presentation – Design Principles of the Indus Water Treaty, towards a Peace Building Process between India and Pakistan (Co-author: Saima S. Ali)",,Paper Presentation,"IPRA General Conference 2018 on 'Innovation for Sustainable Global Peace'. Ahmedabad, Nov 24-28, 2018."
"Papers, Presentations & Participations in Conferences, Seminars, Workshops, Symposia",9,Panel Coordinator – How to Bring Water into Mainstream Education?,,Panel Coordination,"Empowering Cities and Citizens' Conference. IHS Erasmus University, Rotterdam, Nov 6-7, 2018."
"Papers, Presentations & Participations in Conferences, Seminars, Workshops, Symposia",10,Participation – The 17th World Lake Conference,,Participation,"Tsukuba, Ibaraki, Japan. Oct 15-19, 2018."
"Papers, Presentations & Participations in Conferences, Seminars, Workshops, Symposia",11,Papers Presentations: 1. Integrated Urban Lake Management at Indore India (Co-author GK Bhat); 2. An Institutional analysis of Gundalav Lake Governance (Co-author Megha Sanjaliwala),,Paper Presentation,"Asian Regional Biennial IASC Meeting on 'Redefining Diversity and Dynamism of Natural Resource Management in Asia'. AIT Bangkok, July 13-16, 2018 +50 other entries"
"Papers, Presentations & Participations in Conferences, Seminars, Workshops, Symposia",12,Presentation – Indo-Dutch Ganga Forum,,Presentation,"Embassy of The Netherlands. May 24, 2018."
"Papers, Presentations & Participations in Conferences, Seminars, Workshops, Symposia",13,Panel Chair and Presentation – 'Smart Cities: Safety and Public Spaces'; Paper: Public Space and Safety,,Panel Chair / Presentation,"Roundtable on Bonjour India Future Tour on 'Smart Cities: Urban Planning, Architecture and Design'. Nirma University, Ahmedabad, Feb 24-25, 2018."
"Papers, Presentations & Participations in Conferences, Seminars, Workshops, Symposia",14,"Presentation – What if, it is Not Large versus Small Water Systems?",,Presentation,"4th Information & Networking Event EU-India Call on Water. Vadodara, Jan 11-12, 2018."
"Papers, Presentations & Participations in Conferences, Seminars, Workshops, Symposia",15,Participation – National Workshop on Climate Change and Disaster Resilience for Urban Children,,Participation,"Gorakhpur Environmental Action Group. New Delhi, Dec 22-23, 2017."
"Papers, Presentations & Participations in Conferences, Seminars, Workshops, Symposia",16,"Panels: 1. Evolution of Governance concepts, methods and models; 2. Applications of the Social-ecological system (SES) framework",,Panel Participation,"XVI Biennial IASC Conference on 'Practicing the commons: Self-governance, cooperation, and institutional change'. Utrecht University, July 10-14, 2017."
"Papers, Presentations & Participations in Conferences, Seminars, Workshops, Symposia",17,Presentation – Roundtable on Water with focus on Municipal Water and Waste Water,,Presentation,"Embassy of The Netherlands. New Delhi, June 9, 2017."
"Papers, Presentations & Participations in Conferences, Seminars, Workshops, Symposia",18,Paper – Fulbright Project: Ontology of Urban Lake System,,Paper Presentation,"CBIE Seminar Series. Arizona State University, Tempe, April 24, 2017."
"Papers, Presentations & Participations in Conferences, Seminars, Workshops, Symposia",19,Participation – Fulbright Visiting Scholar Enrichment Seminar on 'Building a Sustainable Future: Innovative Approaches for Climate Change and Our Oceans',,Participation,"Institute of International Education, Los Angeles, March 8-11, 2017."
"Papers, Presentations & Participations in Conferences, Seminars, Workshops, Symposia",20,Paper – Fulbright Project: Looking for A Language of Urban Lake Governance and Sustainability,,Paper Presentation,"University of Florida Gainesville (Jan 31, 2017); University of Tennessee Knoxville (Nov 16, 2016); Indiana University Bloomington (Nov 14, 2016); University of Wisconsin-Madison (Nov 8, 2016); Javeriana University Bogota (Oct 21, 2016); Arizona State University Tempe (Sep 19, 2017)."
"Papers, Presentations & Participations in Conferences, Seminars, Workshops, Symposia",21,Participation – UN Habitat III,,Participation,"United Nations Conference on Housing and Sustainable Urban Development. Quito, Ecuador, Oct 17-20, 2016."
"Papers, Presentations & Participations in Conferences, Seminars, Workshops, Symposia",22,Paper – Assessment of Interactive Water Governance in India: A case of Anasagar Ajmer,,Paper Presentation,"Seminar on Interactive Water Governance: Case Studies of Asia. IDE JETRO Chiba, June 29, 2016."
"Papers, Presentations & Participations in Conferences, Seminars, Workshops, Symposia",23,Presentation & Panel Chair – 'Climate Change and Environment',,Panel Chair / Presentation,"Conference 'Governance and Inclusion in Transforming Cities'. ISS-IHS Erasmus University and SPA-ITPI, New Delhi, May 11, 2016."
"Papers, Presentations & Participations in Conferences, Seminars, Workshops, Symposia",24,Workshop Coordinator (with Prof. Praveen Mathur) – 'Water and Wetland: Looking for Smart Solutions'; Presentation: Analyzing Anasagar from a Social-ecological system approach,,Workshop / Presentation,"MDS University Ajmer, Mar 19, 2016."
"Papers, Presentations & Participations in Conferences, Seminars, Workshops, Symposia",25,Presentation – 'Upstream-Downstream Saga of Mansagar Lake – A Story of Jaipur's Wastewater',,Presentation,"International Training Workshop on 'Converting Waste into Resource: Beneficial and safe Reuse of Waste and Wastewater in peri-urban Agriculture in India'. Udaipur, Nov 23-26, 2015."
"Papers, Presentations & Participations in Conferences, Seminars, Workshops, Symposia",26,Participant and Academic Advisory – National Conference on Global Warming & Climate Change: A Way Out,,Participation,"EPCO, Bhopal, Nov 20-22, 2015."
"Papers, Presentations & Participations in Conferences, Seminars, Workshops, Symposia",27,Workshop Presentation & Panel Discussant – 'Institutional structures to restore & conserve urban water bodies',,Workshop / Panel,"National Workshop on 'Urban Lakes Conservation Options'. TARU and IMC Indore, Oct 8, 2015 ."
"Papers, Presentations & Participations in Conferences, Seminars, Workshops, Symposia",28,Presentation – 'It Started Here. Urban lake governance in India: A case of Mansagar Lake in Jaipur. Poster and Presentation',,Poster / Presentation,"Multi-Culti, FAAA. CEPT University, Ahmedabad, Dec 12-13."
"Papers, Presentations & Participations in Conferences, Seminars, Workshops, Symposia",29,Paper Presentation – The complex Science of Urban Lake Systems,,Paper Presentation,"International Conference on Lakes and Wetlands. EPCO, Bhopal, Feb 12-14, 2014."
"Papers, Presentations & Participations in Conferences, Seminars, Workshops, Symposia",30,Poster – Urban lake governance in India: A case of Mansagar Lake in Jaipur,,Poster,"N-AERUS / GISDECO Conference, URBAN FUTURES, University of Twente. Enschede, Sep 12-14, 2013."
"Papers, Presentations & Participations in Conferences, Seminars, Workshops, Symposia",31,Paper Presentation – Understanding Mansagar Lake Governance using Social-Ecological Systems Framework,,Paper Presentation,"XIV IASC Conference. Kitafuji, Japan, June 2-7, 2013."
"Papers, Presentations & Participations in Conferences, Seminars, Workshops, Symposia",32,Posters – People's perception on Mansagar Lake,,Poster,"16th Bird Fair by Tourism and Wildlife Society of India. Jaipur, Feb 4-5, 2013."
"Papers, Presentations & Participations in Conferences, Seminars, Workshops, Symposia",33,Presentation – Water and water bodies Management in Urban India,,Presentation,"Working Conference on Urban Developments and Emerging Issues of Inclusion, Governance and Sustainability in India. IHS Rotterdam, Sep 21, 2013."
"Papers, Presentations & Participations in Conferences, Seminars, Workshops, Symposia",34,Paper Presentation – Ground challenges to collective governance of urban lakes in India,https://issuu.com/ecpr/docs/2012_ecpr_bremen_graduate_student_c,Paper Presentation,"4th European Consortium for Political Research Graduate Student Conference. Bremen, July 4-6, 2012."
"Papers, Presentations & Participations in Conferences, Seminars, Workshops, Symposia",35,Paper Presentation – Challenges to collective governance of urban CPR,,Paper Presentation,"Planet Under Pressure Conference. London, March 25-28, 2012."
"Papers, Presentations & Participations in Conferences, Seminars, Workshops, Symposia",36,Posters – Mansagar Lake Governance,,Poster,"15th Bird Fair by Tourism and Wildlife Society of India. Jaipur, Feb 2-3, 2012."
"Papers, Presentations & Participations in Conferences, Seminars, Workshops, Symposia",37,Paper Presentation – Collective Action towards Ecological Performance of Mansagar Lake,,Paper Presentation,"Mini Conference at Workshop in Political Theory and Policy Analysis. Bloomington, Indiana, Dec 11-14, 2011."
"Papers, Presentations & Participations in Conferences, Seminars, Workshops, Symposia",38,Paper Presentation – Towards sustainability of urban lake systems in India: A governance perspective,,Paper Presentation,"GOCS Research Group, Department of Public Administration, Erasmus University, April 25, 2011."
"Papers, Presentations & Participations in Conferences, Seminars, Workshops, Symposia",39,Paper Presentation – Sustainability of Water Resource Systems In India: Role of Value in Urban Lake Governance In Ahmedabad,,Paper Presentation,"13th IASC Conference. Hyderabad, India, Jan 7-11, 2011."
"Papers, Presentations & Participations in Conferences, Seminars, Workshops, Symposia",40,Participation – Rotterdam Global Urban Summit on Sustainable Development,,Participation,"Rotterdam, Dec 3-4, 2010."
"Papers, Presentations & Participations in Conferences, Seminars, Workshops, Symposia",41,Paper Presentation – Governing Values of Water Systems in The Netherlands and in India,,Paper Presentation,"Netherlands Institute of Governance. Maastricht, Nov 23-25, 2010."
"Papers, Presentations & Participations in Conferences, Seminars, Workshops, Symposia",42,Participation – In conversation with Elinor Ostrom at the 13th Economics of Infrastructure Conference,,Participation,"TU Delft, May 27-28, 2010."
"Papers, Presentations & Participations in Conferences, Seminars, Workshops, Symposia",43,Presentation – Governance of Urban lake systems in India,,Presentation,"2nd International River Festival. Hoshangabad, Mar 21-23, 2010."
"Papers, Presentations & Participations in Conferences, Seminars, Workshops, Symposia",44,Participation – GBSM Congress: Water: Public right or Economic good,,Participation,"Erasmus University Rotterdam, Nov 12, 2009."
"Papers, Presentations & Participations in Conferences, Seminars, Workshops, Symposia",45,Paper Presentation – 'Urban Lake Management In Ahmedabad: Ostrom's SES Framework as a Starting Point',,Paper Presentation,"AUC-EUR, Sustainable Development Workshop. Cairo, Oct 27-29, 2009."
"Papers, Presentations & Participations in Conferences, Seminars, Workshops, Symposia",46,Presentation – Water and Waterbodies Management,,Presentation,"10th N-AERUS Conference. IHS, Erasmus University Rotterdam, Oct 5-6, 2009."
"Papers, Presentations & Participations in Conferences, Seminars, Workshops, Symposia",47,Presentation – Looking at the Institutions and Governance of Urban Lake Management in India,,Presentation,"Workshop on De- and Re-Regulation of The Network Industries. Delft, Netherlands, April 20-24, 2009."
"Papers, Presentations & Participations in Conferences, Seminars, Workshops, Symposia",48,Participation – Habitat Business Forum on 'Innovative Cities',,Participation,"Representing IHS Rotterdam. New Delhi, Jul 12-13, 2009."
"Papers, Presentations & Participations in Conferences, Seminars, Workshops, Symposia",49,Participation – Workshop on 'Saving the Lakes of Bangalore',,Participation,"Representing IHS Rotterdam. IISC, Bangalore, Jul 9, 2009."
"Papers, Presentations & Participations in Conferences, Seminars, Workshops, Symposia",50,Coordinating / Panellist / Training Assistance at World Urban Forum-4,,Panel / Coordination,"IHS Rotterdam Networking event. Nanjing, Oct 28-31, 2008."
"Papers, Presentations & Participations in Conferences, Seminars, Workshops, Symposia",51,Participation – Sustainable Human Habitat International Workshop,,Participation,"School of Architecture, CEPT, Ahmedabad, Oct 2006."
